Continent,term,estimate,std.error,statistic,p.value
Oceania,(Intercept),-524.2578460686926,35.20848489917557,-14.890099575996478,4.121488605888231e-43
Oceania,year,0.2895292630446557,0.017785878519143605,16.278603428727152,6.780085084369404e-50
Europe,(Intercept),-836.8908952859905,51.43492217763752,-16.270869282074027,6.701659600658966e-46
Europe,year,0.4531224038991211,0.0259828072725301,17.439316666070084,6.922751105595612e-51
Americas,(Intercept),-663.106293249432,45.43649499333437,-14.594133930152648,9.066232914432343e-37
Americas,year,0.3676509370629441,0.022952648561882484,16.0178001275854,4.354220468069729e-42
Asia,(Intercept),-367.41099397047265,23.29073725839907,-15.774983414832755,6.166438776003642e-43
Asia,year,0.22193214452214385,0.01176552256325232,18.862922860333676,1.3441843225168448e-55
Africa,(Intercept),-341.90796317016736,19.472054527933487,-17.558905388216015,1.985708024934793e-14
Africa,year,0.21027237762237966,0.009836481102317343,21.37678865390615,3.299327434555435e-16
